gesture_id,gesture_name,lm0_wrist_x,lm0_wrist_y,lm0_wrist_z,lm1_thumb_cmc_x,lm1_thumb_cmc_y,lm1_thumb_cmc_z,lm2_thumb_mcp_x,lm2_thumb_mcp_y,lm2_thumb_mcp_z,lm3_thumb_ip_x,lm3_thumb_ip_y,lm3_thumb_ip_z,lm4_thumb_tip_x,lm4_thumb_tip_y,lm4_thumb_tip_z,lm5_index_mcp_x,lm5_index_mcp_y,lm5_index_mcp_z,lm6_index_pip_x,lm6_index_pip_y,lm6_index_pip_z,lm7_index_dip_x,lm7_index_dip_y,lm7_index_dip_z,lm8_index_tip_x,lm8_index_tip_y,lm8_index_tip_z,lm9_middle_mcp_x,lm9_middle_mcp_y,lm9_middle_mcp_z,lm10_middle_pip_x,lm10_middle_pip_y,lm10_middle_pip_z,lm11_middle_dip_x,lm11_middle_dip_y,lm11_middle_dip_z,lm12_middle_tip_x,lm12_middle_tip_y,lm12_middle_tip_z,lm13_ring_mcp_x,lm13_ring_mcp_y,lm13_ring_mcp_z,lm14_ring_pip_x,lm14_ring_pip_y,lm14_ring_pip_z,lm15_ring_dip_x,lm15_ring_dip_y,lm15_ring_dip_z,lm16_ring_tip_x,lm16_ring_tip_y,lm16_ring_tip_z,lm17_pinky_mcp_x,lm17_pinky_mcp_y,lm17_pinky_mcp_z,lm18_pinky_pip_x,lm18_pinky_pip_y,lm18_pinky_pip_z,lm19_pinky_dip_x,lm19_pinky_dip_y,lm19_pinky_dip_z,lm20_pinky_tip_x,lm20_pinky_tip_y,lm20_pinky_tip_z
0,Move Cursor (Index Pointing),0.0,0.0,0.0,-0.0453,-0.0586,-0.0252,-0.0606,-0.1513,-0.0382,-0.0216,-0.2153,-0.0527,0.0261,-0.2291,-0.0662,-0.0466,-0.2473,-0.0153,-0.0513,-0.3492,-0.0416,-0.052,-0.4082,-0.0584,-0.0486,-0.4621,-0.0712,-0.0009,-0.2327,-0.0215,0.0145,-0.3073,-0.0648,-0.0007,-0.2418,-0.0746,-0.0094,-0.1964,-0.0689,0.039,-0.2018,-0.0319,0.0497,-0.2421,-0.0713,0.0247,-0.1768,-0.063,0.0141,-0.1413,-0.045,0.0711,-0.158,-0.0454,0.0795,-0.1974,-0.0665,0.0556,-0.1549,-0.0557,0.0437,-0.1255,-0.0414
1,Drag & Drop (Pinch),0.0,0.0,0.0,-0.0526,-0.036,-0.0132,-0.0994,-0.1013,-0.0232,-0.1251,-0.1553,-0.0367,-0.1398,-0.2083,-0.0477,-0.062,-0.1914,0.0102,-0.0824,-0.2348,-0.0139,-0.1056,-0.249,-0.0232,-0.1254,-0.2524,-0.0262,-0.0298,-0.1959,0.0029,-0.067,-0.2154,-0.0247,-0.0625,-0.1427,-0.0213,-0.0454,-0.1318,-0.0097,0.0033,-0.1905,-0.011,-0.0362,-0.1877,-0.0434,-0.0307,-0.1216,-0.0291,-0.013,-0.1169,-0.0102,0.0362,-0.1771,-0.0267,-0.0044,-0.1797,-0.0453,-0.0061,-0.1297,-0.034,0.0089,-0.1185,-0.0205
2,Left Click (Peace Sign),0.0,0.0,0.0,-0.0432,-0.0427,-0.0385,-0.055,-0.1182,-0.057,-0.0166,-0.1856,-0.0733,0.0205,-0.2335,-0.0874,-0.0765,-0.2239,-0.0301,-0.0942,-0.3204,-0.0546,-0.1014,-0.3824,-0.0698,-0.1052,-0.4336,-0.0789,-0.0325,-0.2335,-0.0288,-0.0194,-0.3446,-0.0549,-0.0075,-0.4113,-0.0707,0.0034,-0.4658,-0.0777,0.0064,-0.2136,-0.0323,0.0302,-0.2563,-0.0695,0.0187,-0.1995,-0.0765,0.0081,-0.1632,-0.0703,0.0378,-0.1773,-0.0386,0.0505,-0.2088,-0.0662,0.038,-0.1662,-0.065,0.0258,-0.1356,-0.0573
3,Right Click (L-Shape),0.0,0.0,0.0,-0.0568,-0.0305,-0.0355,-0.1144,-0.0891,-0.0606,-0.1693,-0.1277,-0.0858,-0.2158,-0.1499,-0.1094,-0.0845,-0.2213,-0.032,-0.0883,-0.3144,-0.0686,-0.0861,-0.3756,-0.087,-0.0799,-0.4306,-0.0974,-0.0413,-0.2157,-0.0322,-0.0379,-0.2452,-0.0767,-0.0404,-0.1602,-0.0761,-0.0448,-0.1479,-0.0644,0.003,-0.2019,-0.0389,0.0044,-0.215,-0.0837,-0.0047,-0.1409,-0.0671,-0.0129,-0.1362,-0.0445,0.0438,-0.182,-0.0492,0.045,-0.2027,-0.0729,0.0311,-0.148,-0.0574,0.0222,-0.1327,-0.0392
4,Double Click (Thumb Only),0.0,0.0,0.0,-0.025,-0.1112,-0.0069,-0.0636,-0.2038,-0.0231,-0.0872,-0.2812,-0.0393,-0.0922,-0.3465,-0.056,-0.1339,-0.1597,-0.0405,-0.2066,-0.1539,-0.0557,-0.182,-0.1462,-0.0631,-0.1503,-0.1455,-0.0665,-0.1415,-0.087,-0.0455,-0.2054,-0.0912,-0.0519,-0.1796,-0.089,-0.0498,-0.149,-0.0858,-0.0513,-0.1403,-0.019,-0.0487,-0.1954,-0.0303,-0.0509,-0.1724,-0.03,-0.0389,-0.1437,-0.0274,-0.0338,-0.1351,0.0412,-0.0523,-0.184,0.0254,-0.0515,-0.1631,0.0229,-0.0369,-0.1379,0.025,-0.0267
5,Scroll (Open Palm),0.0,0.0,0.0,-0.0692,-0.0255,-0.0349,-0.1296,-0.0777,-0.0549,-0.1787,-0.1245,-0.0721,-0.2247,-0.1523,-0.0889,-0.0745,-0.2377,-0.0295,-0.1065,-0.3327,-0.0502,-0.1234,-0.3929,-0.0682,-0.1333,-0.4446,-0.082,-0.0297,-0.2572,-0.0301,-0.0369,-0.37,-0.0452,-0.0376,-0.4395,-0.0589,-0.0354,-0.4949,-0.0699,0.0132,-0.2501,-0.0359,0.0206,-0.3521,-0.0545,0.0275,-0.4129,-0.0675,0.0332,-0.4642,-0.0771,0.0538,-0.2234,-0.0452,0.0775,-0.2952,-0.0631,0.094,-0.3403,-0.0706,0.1081,-0.3815,-0.0757
6,Zoom (Rock Sign),0.0,0.0,0.0,-0.0481,-0.0278,-0.0337,-0.077,-0.0969,-0.0529,-0.0597,-0.1682,-0.0703,-0.023,-0.2072,-0.0849,-0.1062,-0.2014,-0.0266,-0.1191,-0.2963,-0.0472,-0.1215,-0.3541,-0.0583,-0.1226,-0.4056,-0.0655,-0.0668,-0.2128,-0.0216,-0.066,-0.2625,-0.0615,-0.0589,-0.1978,-0.0726,-0.0584,-0.1642,-0.0689,-0.0283,-0.2156,-0.0197,-0.0261,-0.2556,-0.0569,-0.0274,-0.1965,-0.0549,-0.0325,-0.1615,-0.0407,0.0059,-0.2124,-0.0203,0.0073,-0.2889,-0.0414,0.0068,-0.3337,-0.0411,0.0039,-0.3795,-0.0339
7,Close Window (Pinky Extended),0.0,0.0,0.0,-0.0083,-0.1058,-0.0045,-0.0298,-0.1925,-0.0147,-0.0519,-0.2647,-0.0247,-0.0642,-0.3197,-0.0338,-0.1167,-0.1748,-0.0247,-0.167,-0.1745,-0.0273,-0.1474,-0.1585,-0.0254,-0.1229,-0.1477,-0.0236,-0.1378,-0.1188,-0.028,-0.1786,-0.1295,-0.0283,-0.1569,-0.1173,-0.0274,-0.1347,-0.1063,-0.0301,-0.1464,-0.0622,-0.0293,-0.1922,-0.0799,-0.0324,-0.1716,-0.0707,-0.0293,-0.1464,-0.0608,-0.0301,-0.147,-0.0106,-0.03,-0.2077,-0.0074,-0.0337,-0.2429,-0.0002,-0.0323,-0.2731,0.0045,-0.0323
8,Idle (Closed Fist),0.0,0.0,0.0,-0.0655,-0.0255,-0.0229,-0.1178,-0.1002,-0.0345,-0.0991,-0.1747,-0.0484,-0.0463,-0.1886,-0.0567,-0.1159,-0.1869,0.0015,-0.1312,-0.2488,-0.0366,-0.1071,-0.1831,-0.0568,-0.0916,-0.1507,-0.0644,-0.0736,-0.2033,-0.0023,-0.0848,-0.2654,-0.0401,-0.0647,-0.1834,-0.046,-0.0576,-0.1557,-0.0386,-0.0303,-0.2099,-0.0139,-0.0357,-0.2624,-0.0481,-0.025,-0.1829,-0.0383,-0.0222,-0.1524,-0.02,0.0145,-0.2065,-0.0287,0.0071,-0.2574,-0.0421,0.0073,-0.2043,-0.0296,0.008,-0.1739,-0.0147
